Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
P25654	YCR090C	6.39E-07	5.95E-07	3.65E-07	3.15E-07	3.64E-07	5.73E-08	1.16E-08	9.74E-09	2.21E-08	8.68E-09
P25655	YCR093W	2.50E-07	2.91E-07	1.94E-07	1.59E-07	1.41E-07	2.59E-08	4.02E-08	9.92E-09	1.28E-08	2.05E-08
P25659	YCR076C	3.04E-07	3.58E-07	1.90E-07	1.69E-07	8.90E-08	2.45E-08	2.43E-08	1.74E-08	1.47E-09	6.71E-09
P25694	YDL126C	1.16E-05	1.09E-05	7.50E-06	6.63E-06	5.71E-06	1.87E-06	6.73E-08	7.81E-08	2.29E-07	1.85E-07
P25719	YML078W	6.04E-06	6.20E-06	4.12E-06	3.32E-06	5.11E-06	1.13E-07	2.31E-07	4.63E-08	3.19E-07	3.04E-07
P25808	YFL002C	4.52E-08	9.55E-08	2.17E-08	2.14E-08	5.02E-08	2.42E-09	NA	NA	NA	1.47E-08
P25847	YOL090W	1.09E-07	2.03E-07	1.19E-07	9.47E-08	7.58E-08	3.00E-08	3.55E-08	1.99E-08	3.42E-09	8.94E-09
P26263	YGR087C	9.04E-08	5.96E-07	9.64E-07	8.56E-08	NA	1.01E-07	8.62E-07	2.55E-07	6.44E-08	NA
P26321	YPL131W	2.58E-05	2.32E-05	1.47E-05	1.22E-05	2.74E-05	1.14E-06	1.08E-06	9.04E-07	7.37E-07	4.52E-07
P26570	YML016C	1.07E-07	6.82E-08	7.03E-08	5.13E-08	NA	1.06E-08	1.38E-09	5.10E-09	1.27E-08	NA
P26637	YPL160W	3.45E-06	3.51E-06	2.22E-06	1.85E-06	4.71E-06	2.75E-07	9.28E-08	7.69E-08	9.63E-08	2.36E-07
P26754	YNL312W	9.72E-07	1.43E-06	7.73E-07	7.25E-07	5.16E-07	8.91E-08	1.04E-07	9.90E-08	1.05E-07	5.23E-08
P26783	YJR123W	3.59E-05	3.24E-05	1.87E-05	1.66E-05	3.80E-05	1.21E-06	9.44E-07	3.88E-07	1.13E-06	1.02E-06
P26784	YIL133C	9.87E-06	9.30E-06	5.55E-06	5.03E-06	9.51E-06	6.59E-07	5.27E-07	9.26E-08	3.48E-07	1.51E-07
P26785	YNL069C	2.22E-05	1.96E-05	1.12E-05	9.91E-06	2.36E-05	1.95E-06	1.76E-07	5.00E-07	5.19E-07	2.34E-07
P26786	YOR096W	3.42E-05	3.22E-05	1.91E-05	1.65E-05	3.58E-05	2.06E-06	1.54E-06	8.07E-07	1.39E-06	4.87E-07
P26793	YKL113C	1.54E-07	2.14E-07	1.27E-07	9.84E-08	1.09E-07	3.41E-08	2.06E-08	5.55E-09	1.39E-08	8.10E-09
P27351	YJR005W	7.16E-08	5.11E-08	2.35E-08	3.29E-08	9.18E-08	6.73E-09	1.97E-08	3.04E-09	1.25E-09	NA
P27466	YFR014C	5.63E-07	7.73E-07	5.33E-07	4.13E-07	8.28E-07	4.13E-08	3.84E-08	8.59E-09	1.15E-08	8.46E-09
P27472	YLR258W	9.14E-07	8.85E-07	5.82E-07	4.65E-07	1.99E-07	2.75E-07	7.32E-08	5.10E-08	4.85E-08	5.15E-08
P27476	YGR159C	3.36E-06	2.14E-06	8.78E-07	7.67E-07	2.63E-06	6.23E-07	1.12E-07	2.58E-08	9.16E-08	3.44E-08
P27514	YNR013C	5.82E-08	1.50E-07	1.63E-07	1.10E-07	7.62E-08	NA	1.01E-08	6.05E-09	NA	NA
P27614	YJL172W	2.31E-06	2.74E-05	2.13E-05	1.78E-05	9.33E-07	7.81E-08	7.87E-07	3.24E-06	1.59E-06	9.79E-08
P27616	YAR015W	6.66E-06	6.68E-06	4.10E-06	3.71E-06	3.93E-06	3.25E-07	1.43E-07	7.56E-08	2.38E-07	1.55E-07
P27637	YAR014C	1.25E-07	9.91E-08	6.27E-08	4.74E-08	6.11E-08	3.30E-08	2.96E-08	6.42E-09	1.25E-09	4.71E-09
P27692	YML010W	7.12E-07	7.89E-07	5.64E-07	4.75E-07	6.75E-07	3.76E-08	1.60E-08	2.61E-08	1.33E-08	4.03E-08
P27697	YGL119W	5.40E-07	1.09E-07	6.13E-08	4.77E-08	2.35E-07	7.85E-07	1.99E-08	7.73E-09	7.63E-09	2.96E-07
P27705	YGL035C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P27796	YIL160C	3.22E-06	1.70E-06	4.66E-07	3.24E-07	1.71E-07	3.90E-07	1.20E-07	3.01E-08	1.40E-08	5.53E-08
P27801	YLR148W	2.16E-08	1.48E-08	1.25E-08	1.55E-08	2.35E-08	NA	NA	NA	NA	6.61E-09
P27809	YDR483W	1.82E-07	2.63E-07	2.13E-07	1.70E-07	1.62E-07	2.65E-08	1.78E-08	2.65E-09	1.30E-08	2.30E-08
P27810	YOR099W	4.56E-07	7.35E-07	4.84E-07	4.29E-07	4.56E-07	1.08E-08	3.53E-08	5.86E-09	6.11E-08	3.39E-08
P27882	YGR029W	2.72E-07	2.36E-07	1.40E-07	1.18E-07	1.35E-07	1.34E-08	3.05E-08	5.12E-09	4.13E-09	9.72E-09
P27929	YNL137C	2.68E-07	1.97E-07	1.38E-07	8.85E-08	4.48E-07	4.25E-08	1.68E-08	1.97E-08	3.02E-09	1.39E-08
P28000	YNL113W	1.43E-07	1.37E-07	7.20E-08	6.39E-08	1.13E-07	1.79E-08	5.75E-09	2.93E-09	3.79E-09	1.18E-09
P28005	YAL033W	1.47E-08	1.99E-08	NA	NA	1.25E-08	6.07E-09	NA	NA	NA	NA
P28007	YHR089C	3.74E-06	3.36E-06	1.76E-06	1.54E-06	3.00E-06	2.45E-07	9.47E-08	2.55E-08	8.27E-08	4.80E-08
P28239	YMR267W	1.73E-07	1.43E-07	7.13E-08	4.93E-08	1.87E-07	8.12E-09	1.82E-08	1.40E-08	1.32E-08	6.14E-08
P28240	YER065C	1.15E-05	4.77E-06	1.44E-06	4.17E-07	2.53E-06	1.58E-06	3.13E-07	3.99E-08	4.65E-08	4.14E-07
P28241	YOR136W	1.19E-05	1.80E-05	1.48E-05	1.02E-05	1.96E-05	1.26E-07	4.78E-07	8.76E-07	4.46E-07	2.58E-06
P28263	YEL012W	1.39E-06	1.57E-06	1.03E-06	6.44E-07	3.56E-07	1.86E-07	3.43E-07	4.42E-07	1.95E-07	NA
P28272	YKL216W	2.04E-06	1.95E-06	1.21E-06	1.06E-06	1.86E-06	7.19E-08	5.11E-09	7.16E-08	5.30E-08	7.13E-08
P28273	YKL215C	2.91E-07	3.81E-07	2.98E-07	2.62E-07	1.70E-07	5.59E-09	8.98E-08	3.45E-08	1.98E-08	1.59E-08
P28274	YBL039C	1.13E-06	6.60E-07	3.47E-07	2.95E-07	1.21E-06	3.52E-08	8.00E-09	2.32E-08	1.63E-08	4.60E-08
P28319	YKL096W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28320	YKL095W	1.54E-08	1.24E-08	NA	9.64E-09	NA	NA	NA	NA	NA	NA
P28321	YKL094W	1.34E-06	1.06E-06	9.49E-07	7.55E-07	8.08E-07	7.58E-08	2.54E-08	1.09E-08	3.71E-08	4.63E-08
P28495	YKL007W	1.57E-06	1.75E-06	1.06E-06	9.06E-07	8.14E-07	4.48E-08	8.56E-08	2.21E-08	6.13E-08	3.83E-08
P28496	YKL008C	NA	NA	NA	6.88E-08	NA	NA	NA	NA	NA	NA
P28625	YMR152W	8.43E-07	1.12E-06	6.57E-07	5.93E-07	2.58E-07	1.06E-07	1.48E-07	4.03E-08	8.34E-08	2.76E-08
P28707	YKL117W	1.64E-05	1.75E-05	1.02E-05	8.71E-06	7.68E-06	1.17E-06	8.63E-07	3.34E-07	1.83E-07	2.71E-07
P28737	YGR028W	2.35E-07	1.60E-07	1.53E-07	1.11E-07	2.49E-07	NA	2.19E-08	1.47E-08	3.57E-09	1.80E-08
P28777	YGL148W	4.83E-06	3.62E-06	2.13E-06	1.93E-06	4.93E-06	9.02E-08	4.38E-08	5.04E-08	1.22E-07	1.50E-07
P28778	YKL003C	1.14E-06	6.95E-07	5.31E-07	4.49E-07	1.75E-06	1.29E-07	5.81E-08	NA	4.21E-08	2.00E-07
P28789	YDL205C	2.83E-06	1.38E-06	9.19E-07	7.47E-07	3.01E-06	1.34E-07	2.68E-08	8.24E-08	7.86E-08	1.36E-07
P28791	YDR498C	NA	NA	NA	3.87E-08	NA	NA	NA	NA	NA	NA
P28795	YDR329C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P28817	YDR036C	6.18E-07	4.06E-07	1.61E-07	1.06E-07	3.16E-07	4.82E-08	1.64E-08	4.14E-09	1.36E-08	2.28E-08
P28834	YNL037C	1.71E-05	2.30E-05	1.79E-05	1.17E-05	2.27E-05	7.16E-07	1.26E-06	1.97E-07	6.52E-07	3.00E-06
P29029	YLR286C	3.44E-07	3.39E-07	1.78E-07	1.29E-07	3.76E-07	2.41E-08	1.73E-08	2.05E-08	1.95E-08	5.50E-08
P29055	YPR086W	1.32E-07	5.42E-07	3.12E-07	2.29E-07	2.08E-07	1.71E-08	1.50E-07	9.30E-08	1.36E-07	2.15E-08
P29295	YPL204W	1.96E-07	2.67E-07	1.66E-07	1.44E-07	2.34E-07	1.52E-08	1.33E-08	1.52E-08	8.18E-09	7.33E-09
P29311	YER177W	9.53E-06	1.10E-05	7.03E-06	5.87E-06	4.75E-06	6.76E-07	3.32E-07	1.74E-07	2.46E-07	1.87E-07
P29366	YBR200W	5.55E-08	6.59E-08	3.96E-08	3.25E-08	4.35E-08	8.81E-09	5.93E-09	3.81E-09	3.39E-09	1.83E-09
P29453	YLL045C	1.20E-05	1.14E-05	6.59E-06	5.72E-06	1.29E-05	4.57E-07	3.59E-07	1.26E-07	3.29E-07	5.45E-07
P29468	YKR002W	2.05E-07	2.23E-07	1.45E-07	1.07E-07	1.49E-07	1.35E-08	2.59E-08	1.01E-08	1.42E-08	2.25E-08
P29469	YBL023C	1.70E-07	1.69E-07	1.32E-07	1.13E-07	1.41E-07	2.22E-08	4.03E-09	1.41E-08	5.93E-09	3.85E-09
P29478	YML105C	5.49E-07	5.44E-07	3.54E-07	2.87E-07	3.95E-07	2.84E-08	1.84E-08	2.52E-08	1.81E-08	2.73E-08
P29496	YLR274W	NA	2.69E-07	1.15E-07	2.05E-07	2.58E-07	NA	NA	NA	2.08E-08	2.49E-08
P29509	YDR353W	7.05E-06	5.47E-06	3.10E-06	2.87E-06	3.89E-06	8.12E-07	1.16E-07	1.47E-07	9.89E-08	6.73E-08
P29547	YPL048W	6.72E-06	7.01E-06	4.43E-06	3.56E-06	3.99E-06	3.12E-07	1.99E-07	6.93E-08	1.47E-07	2.02E-08
P29703	YKL019W	2.56E-07	2.75E-07	1.70E-07	1.37E-07	1.62E-07	3.26E-08	6.84E-08	1.52E-08	6.50E-08	1.88E-08
P29704	YHR190W	1.78E-06	2.54E-06	2.31E-06	1.82E-06	1.20E-06	1.01E-07	1.80E-07	1.05E-07	1.84E-07	1.82E-07
P29952	YER003C	4.42E-06	5.03E-06	3.39E-06	2.99E-06	3.10E-06	7.95E-08	1.85E-07	7.88E-08	1.72E-07	8.97E-08
P30619	YDR164C	2.73E-07	2.82E-07	1.62E-07	1.27E-07	1.50E-07	1.29E-08	1.98E-08	9.79E-09	7.32E-09	1.51E-08
P30624	YOR317W	6.13E-06	4.88E-06	4.02E-06	4.15E-06	2.16E-06	9.52E-07	1.39E-07	1.04E-07	5.05E-07	1.56E-07
P30656	YPR103W	2.60E-06	3.09E-06	1.91E-06	1.70E-06	1.20E-06	1.61E-07	4.50E-08	3.86E-08	1.18E-07	6.29E-08
P30657	YFR050C	5.53E-06	6.54E-06	4.09E-06	3.59E-06	2.59E-06	1.15E-07	2.77E-07	1.32E-07	1.16E-07	8.05E-08
P30665	YPR019W	2.13E-07	2.98E-07	1.49E-07	1.55E-07	2.03E-07	2.58E-08	1.13E-07	5.28E-08	3.67E-08	3.50E-09
P30771	YMR080C	1.37E-07	1.58E-07	1.25E-07	8.50E-08	1.55E-07	4.10E-08	1.99E-08	1.82E-08	1.46E-08	1.16E-08
P30822	YGR218W	7.67E-07	9.11E-07	6.83E-07	5.71E-07	3.98E-07	1.45E-07	4.96E-08	1.34E-08	3.97E-08	5.92E-08
P30902	YKL016C	1.37E-05	1.36E-05	9.45E-06	6.72E-06	1.12E-05	1.22E-06	4.68E-07	6.49E-08	1.94E-07	6.88E-07
P31109	YAL030W	4.83E-07	1.05E-06	NA	NA	4.39E-07	NA	NA	NA	NA	NA
P31115	YFL001W	2.95E-08	2.26E-08	1.66E-08	1.15E-08	2.43E-08	2.00E-09	3.26E-09	3.29E-09	8.76E-10	7.60E-09
P31116	YJR139C	2.11E-05	2.48E-05	1.71E-05	1.40E-05	1.56E-05	5.80E-07	4.81E-07	5.71E-07	1.13E-06	5.22E-07
P31334	YGR220C	2.94E-07	2.27E-07	1.31E-07	9.14E-08	4.76E-07	2.68E-08	1.14E-08	1.90E-08	5.54E-09	1.90E-08
P31373	YAL012W	1.73E-05	1.37E-05	9.04E-06	7.78E-06	1.27E-05	5.83E-07	1.98E-07	1.29E-07	6.69E-07	4.18E-07
P31377	YAL014C	NA	NA	NA	3.86E-08	NA	NA	NA	NA	NA	NA
P31380	YAL019W	NA	NA	NA	NA	3.51E-08	NA	NA	NA	NA	NA
P31382	YAL023C	4.42E-07	6.58E-07	4.80E-07	3.69E-07	3.87E-07	7.74E-08	4.96E-08	4.03E-08	5.08E-08	5.61E-08
P31383	YAL016W	6.08E-07	7.65E-07	5.39E-07	4.16E-07	2.56E-07	6.35E-08	2.30E-08	1.77E-08	2.81E-08	4.37E-08
P31384	YAL021C	8.52E-07	9.17E-07	6.41E-07	5.17E-07	6.54E-07	1.24E-07	5.56E-08	5.66E-08	1.61E-09	9.47E-08
P31385	YAL013W	1.29E-08	1.42E-08	8.63E-09	7.08E-09	NA	5.95E-10	2.94E-09	NA	NA	NA
P31412	YKL080W	2.72E-06	4.62E-06	3.69E-06	3.10E-06	2.54E-06	1.85E-07	2.07E-07	1.55E-07	2.85E-07	1.63E-07
P31539	YLL026W	2.27E-05	2.73E-05	2.16E-05	1.55E-05	5.19E-06	5.68E-06	1.31E-06	2.40E-07	1.46E-06	4.77E-07
P31688	YDR074W	2.99E-06	3.17E-06	2.36E-06	1.89E-06	1.28E-06	5.33E-07	8.00E-08	1.06E-07	3.15E-08	1.36E-07
P31787	YGR037C	6.63E-06	5.96E-06	3.34E-06	2.94E-06	2.51E-06	1.50E-06	1.39E-07	4.42E-08	1.47E-07	1.51E-07
P32048	YNL073W	1.67E-08	1.24E-08	8.32E-09	6.34E-09	2.28E-08	NA	4.04E-09	2.08E-09	9.14E-10	NA
P32074	YNL287W	3.93E-07	4.76E-07	3.20E-07	2.54E-07	3.08E-07	3.65E-08	1.48E-08	8.69E-09	2.90E-08	3.17E-08
P32178	YPR060C	2.72E-07	3.51E-07	2.95E-07	3.03E-07	2.12E-07	1.57E-09	1.18E-08	5.86E-09	4.01E-08	7.52E-09
P32179	YOL064C	2.50E-06	2.99E-06	1.88E-06	1.68E-06	2.06E-06	8.32E-08	5.48E-08	1.09E-08	3.79E-08	1.59E-07
P32190	YHL032C	1.79E-06	4.23E-07	7.50E-08	5.10E-08	1.54E-06	1.17E-07	1.18E-08	9.81E-09	1.94E-09	4.79E-07
P32191	YIL155C	1.81E-05	9.22E-06	2.89E-06	2.07E-06	7.59E-06	3.44E-07	3.14E-07	7.22E-08	9.83E-08	1.66E-06
P32259	YNL236W	3.60E-08	NA	NA	NA	1.04E-08	NA	NA	NA	NA	NA
P32263	YER023W	3.32E-06	4.82E-06	2.89E-06	2.56E-06	2.24E-06	7.13E-08	1.47E-07	9.16E-08	1.00E-07	8.08E-08
P32264	YDR300C	3.70E-07	2.32E-07	1.29E-07	1.07E-07	3.29E-07	3.92E-08	1.40E-08	4.25E-09	7.23E-09	4.13E-08
P32266	YOR211C	4.05E-07	3.76E-07	2.70E-07	1.97E-07	4.32E-07	3.73E-08	2.68E-08	1.16E-08	6.04E-09	2.74E-08
P32288	YPR035W	3.59E-06	2.88E-05	1.62E-05	1.30E-05	6.65E-06	5.38E-07	8.49E-07	2.05E-07	9.84E-07	1.01E-07
P32316	YBL015W	1.15E-05	6.67E-06	3.88E-06	2.25E-06	1.08E-05	1.09E-06	9.43E-08	1.17E-07	1.22E-07	1.82E-06
P32317	YEL052W	2.30E-07	1.87E-07	1.26E-07	9.34E-08	2.09E-07	2.02E-08	1.37E-08	3.66E-09	1.21E-08	2.26E-08
P32324	YDR385W	3.11E-05	2.58E-05	1.75E-05	1.39E-05	4.02E-05	3.44E-06	4.00E-07	7.08E-07	7.08E-07	6.92E-07
P32327	YBR218C	5.28E-06	6.12E-06	3.89E-06	3.04E-06	5.05E-06	7.27E-07	2.02E-07	1.71E-07	2.07E-08	1.61E-07
P32328	YPR111W	2.96E-08	3.44E-08	1.99E-08	1.65E-08	2.21E-08	4.73E-09	3.22E-09	1.08E-09	7.61E-09	8.75E-09
P32331	YPR058W	2.60E-07	5.91E-07	4.13E-07	3.44E-07	1.59E-07	2.06E-08	1.51E-08	8.55E-09	3.88E-08	1.89E-08
P32332	YKL120W	5.36E-07	7.03E-07	5.46E-07	4.56E-07	6.72E-07	1.01E-07	4.34E-08	1.55E-08	3.59E-08	1.23E-07
P32333	YPL082C	NA	NA	1.08E-08	1.35E-08	NA	NA	NA	NA	NA	NA
P32335	YLR203C	6.39E-07	5.23E-07	3.22E-07	2.32E-07	6.58E-07	3.17E-08	7.41E-09	1.33E-08	1.01E-08	2.63E-08
P32337	YMR308C	2.20E-07	2.17E-07	1.51E-07	1.11E-07	1.60E-07	2.94E-08	5.16E-09	6.26E-09	1.12E-08	1.46E-08
P32340	YML120C	6.08E-06	4.91E-06	3.79E-06	2.60E-06	5.83E-06	1.64E-07	1.43E-07	1.90E-07	1.69E-07	1.16E-06
P32341	YKL119C	1.42E-07	2.01E-07	1.16E-07	1.12E-07	1.16E-07	NA	3.40E-08	NA	2.13E-08	2.63E-08
P32342	YKL122C	1.76E-06	1.78E-06	1.15E-06	1.01E-06	8.27E-07	1.26E-07	5.71E-08	9.50E-09	9.36E-08	1.14E-07
P32347	YDR047W	8.25E-07	7.01E-07	5.05E-07	4.14E-07	6.00E-07	7.24E-08	1.70E-08	8.68E-09	4.07E-08	1.94E-08
P32349	YPR190C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32350	YLL019C	3.11E-08	5.36E-08	NA	3.16E-08	NA	NA	NA	NA	2.00E-08	NA
P32352	YMR202W	6.99E-06	8.33E-06	5.79E-06	4.92E-06	3.66E-06	6.43E-07	2.36E-07	5.32E-07	4.41E-07	3.17E-07
P32353	YLR056W	3.55E-07	5.19E-07	5.65E-07	4.37E-07	2.53E-07	5.67E-08	2.61E-08	8.78E-08	8.58E-08	6.01E-08
P32356	YDR001C	3.74E-07	4.43E-07	3.84E-07	3.09E-07	1.45E-07	8.93E-08	2.91E-08	1.81E-08	1.91E-08	1.37E-08
P32364	YKL079W	5.74E-08	6.90E-08	3.75E-08	3.29E-08	3.72E-08	1.22E-08	1.56E-08	1.32E-08	2.70E-09	4.13E-09
P32366	YLR447C	2.04E-06	4.28E-06	3.04E-06	2.84E-06	1.73E-06	1.69E-07	9.45E-08	1.03E-07	5.64E-07	1.26E-07
P32367	YBR123C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32368	YKL212W	4.58E-07	5.34E-07	3.40E-07	2.75E-07	3.96E-07	2.53E-08	2.02E-08	8.71E-09	2.72E-08	5.42E-08
P32377	YNR043W	7.09E-06	6.68E-06	5.16E-06	4.33E-06	5.47E-06	4.10E-07	1.05E-07	6.31E-08	2.69E-07	1.37E-07
P32379	YGR253C	2.32E-06	2.76E-06	1.67E-06	1.46E-06	1.15E-06	1.91E-07	3.48E-08	2.85E-08	8.06E-08	3.96E-08
P32380	YDR356W	1.81E-08	2.57E-08	1.59E-08	1.38E-08	1.30E-08	3.10E-09	2.02E-09	1.76E-09	8.22E-10	6.81E-10
P32381	YDL029W	2.81E-06	2.40E-06	1.54E-06	1.32E-06	1.61E-06	4.26E-07	7.49E-08	2.39E-08	9.22E-08	6.47E-08
P32387	YDR405W	1.70E-07	1.35E-07	7.88E-08	5.24E-08	2.57E-07	4.30E-09	1.25E-08	7.83E-09	8.68E-09	2.26E-09
P32388	YKL167C	2.96E-07	2.04E-07	1.55E-07	1.12E-07	5.44E-07	7.51E-08	4.53E-08	2.74E-08	2.28E-08	5.16E-08
P32389	YNL103W	2.13E-08	2.44E-08	1.41E-08	1.47E-08	1.90E-08	8.73E-11	NA	NA	NA	NA
P32419	YDL078C	9.82E-06	5.53E-06	2.85E-06	2.18E-06	3.05E-06	3.27E-07	9.88E-08	6.46E-08	8.08E-08	2.67E-07
P32432	YLR403W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32445	YCR028C-A	1.43E-05	1.65E-05	8.36E-06	7.43E-06	6.01E-06	2.08E-06	1.12E-06	4.01E-07	1.82E-07	3.98E-07
P32447	YJL115W	2.61E-07	2.60E-07	1.65E-07	1.40E-07	1.70E-07	4.80E-08	2.71E-08	3.11E-08	1.30E-08	4.03E-08
P32449	YBR249C	8.79E-06	7.57E-06	3.31E-06	2.85E-06	6.95E-06	7.90E-07	2.48E-07	1.73E-08	1.17E-07	7.31E-08
P32451	YGR286C	2.38E-08	1.31E-08	5.84E-09	3.71E-09	2.72E-08	4.20E-09	1.62E-09	4.27E-10	3.88E-10	4.24E-10
P32452	YNL316C	3.09E-07	2.50E-07	1.84E-07	1.36E-07	1.80E-07	5.36E-08	2.54E-08	2.69E-08	1.28E-08	1.56E-08
P32453	YNL315C	2.28E-07	2.43E-07	1.52E-07	1.19E-07	3.16E-07	2.39E-08	2.41E-08	4.57E-09	8.64E-09	1.44E-08
P32454	YKL157W	2.36E-06	4.49E-06	3.38E-06	3.02E-06	1.25E-06	2.08E-07	1.04E-07	1.15E-07	1.28E-07	6.74E-08
P32457	YLR314C	2.09E-06	2.30E-06	1.46E-06	1.27E-06	1.42E-06	3.73E-08	1.89E-08	5.26E-08	1.37E-07	7.44E-08
P32458	YJR076C	7.15E-07	9.00E-07	5.63E-07	4.80E-07	5.85E-07	5.00E-08	8.02E-08	1.99E-08	5.26E-08	2.35E-08
P32459	YIR032C	5.47E-07	3.19E-06	1.14E-06	1.22E-06	NA	NA	NA	2.65E-08	3.35E-07	NA
P32460	YIR030C	NA	NA	2.93E-08	5.83E-08	NA	NA	NA	2.00E-08	6.72E-08	NA
P32461	YKL191W	1.61E-07	1.62E-07	8.99E-08	6.65E-08	2.04E-07	1.39E-08	9.77E-09	3.32E-09	3.19E-09	9.22E-09
P32462	YNL280C	1.75E-07	NA	1.61E-07	NA	NA	NA	NA	2.58E-08	NA	NA
P32463	YKL192C	2.86E-06	2.40E-06	1.47E-06	1.20E-06	2.16E-06	2.04E-07	4.74E-08	7.94E-08	8.01E-08	1.46E-07
P32466	YDR345C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32467	YHR092C	NA	NA	1.60E-07	1.21E-07	NA	NA	NA	2.41E-08	2.60E-09	NA
P32468	YHR107C	2.38E-06	2.74E-06	1.69E-06	1.50E-06	1.41E-06	9.23E-08	1.47E-07	5.37E-08	9.85E-08	1.34E-08
P32469	YLR172C	1.36E-06	1.18E-06	6.87E-07	5.84E-07	1.12E-06	1.08E-07	2.40E-08	1.94E-08	1.13E-08	4.23E-08
P32471	YAL003W	1.86E-05	1.84E-05	1.18E-05	1.00E-05	1.55E-05	1.65E-06	3.00E-07	2.90E-07	4.15E-07	2.70E-07
P32472	YDR519W	7.07E-07	7.44E-07	4.43E-07	3.90E-07	3.28E-07	1.52E-08	8.66E-09	3.72E-09	1.26E-08	2.69E-08
P32473	YBR221C	2.17E-05	2.47E-05	1.51E-05	1.16E-05	1.41E-05	4.40E-07	1.78E-06	7.64E-07	5.86E-07	8.68E-07
P32474	YDR518W	2.91E-07	2.90E-07	1.28E-07	1.14E-07	8.88E-08	6.11E-08	2.30E-08	1.71E-08	9.64E-09	1.26E-08
P32476	YGR175C	1.09E-06	1.34E-06	1.13E-06	8.83E-07	6.44E-07	2.55E-07	9.47E-08	7.42E-08	2.40E-08	9.42E-08
P32477	YJL101C	3.00E-07	4.97E-07	4.12E-07	3.29E-07	3.73E-07	3.94E-08	4.54E-08	1.07E-08	1.67E-08	3.47E-08
P32480	YOR038C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32481	YER025W	4.53E-06	3.55E-06	2.43E-06	1.98E-06	4.48E-06	1.60E-07	5.53E-08	8.02E-08	1.09E-07	1.09E-07
P32485	YLR113W	9.04E-07	7.08E-07	5.02E-07	4.45E-07	9.77E-07	1.26E-07	3.64E-08	1.64E-08	3.97E-08	6.58E-08
P32486	YPR159W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32492	YAL029C	4.13E-08	4.55E-08	3.28E-08	2.32E-08	2.02E-08	1.82E-09	3.07E-09	NA	NA	NA
P32495	YDL208W	3.94E-06	3.41E-06	1.89E-06	1.69E-06	2.96E-06	3.87E-07	6.04E-08	4.20E-08	1.31E-07	8.41E-08
P32496	YFR052W	1.83E-06	1.99E-06	1.29E-06	1.08E-06	7.38E-07	1.13E-07	1.21E-08	2.02E-08	4.69E-08	1.47E-08
P32497	YMR309C	1.30E-06	1.45E-06	9.14E-07	7.13E-07	1.54E-06	4.55E-08	7.70E-09	5.36E-08	3.35E-08	1.00E-07
P32499	YLR335W	5.49E-07	6.83E-07	4.81E-07	3.88E-07	4.05E-07	1.46E-08	1.61E-08	3.33E-08	2.38E-08	1.78E-08
P32500	YML031W	1.66E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32501	YDR211W	4.99E-07	3.90E-07	2.69E-07	2.20E-07	4.50E-07	6.09E-09	1.63E-08	2.14E-08	2.08E-09	4.46E-08
P32502	YLR291C	5.02E-07	5.30E-07	2.95E-07	2.30E-07	3.63E-07	1.63E-07	3.96E-08	5.49E-09	6.39E-08	5.17E-08
P32504	YGR140W	NA	1.12E-08	NA	NA	8.67E-09	NA	NA	NA	NA	NA
P32505	YGL122C	3.28E-07	3.73E-07	2.34E-07	1.83E-07	2.32E-07	5.04E-09	1.88E-08	1.75E-08	3.00E-09	1.41E-08
P32521	YIR006C	5.07E-07	7.43E-07	4.98E-07	4.35E-07	4.64E-07	5.19E-08	3.37E-08	7.43E-09	3.04E-08	2.14E-08
P32523	YLL036C	5.15E-07	5.86E-07	3.72E-07	2.82E-07	3.76E-07	9.32E-08	1.18E-08	6.49E-08	1.10E-07	2.25E-08
P32524	YJL203W	9.64E-08	5.85E-08	3.68E-09	2.24E-07	1.94E-08	6.99E-09	3.09E-08	NA	6.82E-08	3.30E-09
P32527	YGR285C	9.54E-06	9.97E-06	5.81E-06	5.20E-06	7.73E-06	3.79E-07	4.43E-07	3.16E-08	4.63E-07	9.51E-08
P32528	YBR208C	3.97E-10	1.47E-08	7.65E-09	6.43E-09	NA	NA	9.99E-10	9.80E-10	2.99E-11	NA
P32529	YJR063W	3.72E-07	5.43E-07	2.48E-07	2.17E-07	4.72E-07	NA	2.87E-08	1.62E-08	2.72E-09	5.78E-08
P32558	YGL207W	1.32E-06	1.59E-06	1.07E-06	8.75E-07	1.10E-06	1.04E-07	4.61E-08	3.27E-08	2.78E-08	3.67E-08
P32561	YNL330C	1.07E-07	1.23E-07	8.79E-08	7.61E-08	7.45E-08	9.73E-09	1.05E-08	5.38E-09	2.28E-09	1.07E-08
