Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
P00950	YKL152C	0.000118503	0.000160297	9.24E-05	7.63E-05	5.11E-05	6.54E-06	8.19E-06	5.40E-06	2.10E-06	1.82E-06
P00958	YGR264C	1.07E-06	1.09E-06	8.45E-07	7.30E-07	1.44E-06	6.41E-08	2.40E-08	3.19E-08	4.56E-08	8.23E-08
P01094	YMR174C	3.09E-07	2.34E-07	9.31E-08	7.37E-08	NA	7.56E-08	1.75E-08	2.83E-09	1.10E-08	NA
P01097	YDL181W	2.34E-05	1.69E-05	1.28E-05	8.26E-06	1.33E-05	1.68E-06	6.37E-07	6.82E-07	NA	2.03E-06
P01098	YDL130W-A	1.67E-05	1.09E-05	5.79E-06	4.88E-06	6.50E-06	4.13E-07	3.71E-07	2.79E-07	8.72E-07	1.68E-06
P01119	YOR101W	8.99E-08	1.42E-07	9.81E-08	7.07E-08	5.05E-08	NA	5.11E-08	1.17E-08	9.12E-10	9.07E-09
P01120	YNL098C	3.76E-06	3.51E-06	1.89E-06	1.70E-06	1.67E-06	5.80E-07	1.12E-07	1.16E-07	9.31E-08	6.33E-08
P01123	YFL038C	7.67E-06	8.62E-06	5.95E-06	4.91E-06	4.77E-06	4.97E-07	4.54E-07	3.43E-07	3.34E-07	7.39E-07
P02309	YBR009C	4.76E-05	8.39E-05	6.09E-05	5.28E-05	3.36E-05	2.55E-06	3.56E-06	3.16E-06	5.78E-07	4.89E-07
P02400	YDR382W	5.57E-06	5.01E-06	3.00E-06	2.66E-06	5.73E-06	8.50E-08	3.02E-07	1.31E-07	2.68E-07	1.85E-07
P02406	YGL103W	3.94E-05	3.68E-05	2.27E-05	1.77E-05	3.86E-05	1.75E-06	2.33E-06	7.53E-07	7.56E-07	5.07E-07
P02557	YFL037W	8.59E-06	1.01E-05	5.91E-06	5.42E-06	4.96E-06	6.23E-07	2.34E-07	2.33E-07	3.02E-07	3.12E-07
P02829	YPL240C	4.28E-06	4.40E-06	2.96E-06	2.07E-06	1.75E-06	1.21E-06	1.39E-07	5.09E-09	2.52E-07	4.21E-08
P02992	YOR187W	5.31E-06	4.67E-06	3.54E-06	2.55E-06	9.33E-06	4.29E-07	1.01E-07	1.59E-07	1.80E-07	3.99E-07
P02994	YPR080W	0.000242872	0.000205226	0.000139174	0.000113947	0.000202384	9.14E-06	4.71E-06	4.67E-06	3.13E-06	8.03E-06
P03874	YHL038C	7.79E-08	7.97E-08	4.22E-08	2.87E-08	1.08E-07	5.89E-09	1.29E-08	2.61E-09	NA	1.74E-08
P03962	YEL021W	8.99E-07	9.96E-07	6.57E-07	5.44E-07	6.86E-07	7.31E-08	1.10E-08	6.61E-08	9.24E-09	2.05E-08
P03965	YJR109C	4.24E-06	5.72E-06	3.37E-06	3.64E-06	4.47E-06	4.99E-07	1.73E-07	9.09E-08	1.39E-07	1.87E-07
P04037	YGL187C	7.76E-07	7.80E-07	5.64E-07	4.00E-07	5.54E-07	7.47E-08	2.78E-08	1.63E-08	2.72E-08	3.73E-08
P04039	YLR395C	3.50E-06	3.01E-06	2.98E-06	1.81E-06	2.01E-06	1.09E-07	1.64E-07	1.31E-07	1.92E-07	1.49E-07
P04046	YMR300C	3.34E-06	3.82E-06	2.31E-06	1.95E-06	3.68E-06	2.88E-07	2.38E-07	8.94E-08	1.08E-07	2.41E-08
P04050	YDL140C	6.42E-07	7.44E-07	5.13E-07	4.21E-07	5.83E-07	4.13E-08	2.03E-08	2.45E-08	1.64E-08	9.96E-09
P04051	YOR116C	1.02E-07	1.12E-07	7.70E-08	6.48E-08	9.66E-08	1.66E-08	2.16E-08	7.10E-09	1.11E-08	1.11E-08
P04076	YHR018C	3.39E-06	9.08E-06	6.48E-06	5.41E-06	4.00E-06	5.00E-07	1.14E-07	1.50E-07	2.38E-07	5.38E-08
P04147	YER165W	1.44E-05	1.42E-05	8.78E-06	7.60E-06	1.24E-05	4.08E-07	2.04E-07	8.79E-08	4.95E-07	9.67E-08
P04161	YDR408C	2.16E-06	1.22E-06	7.70E-07	7.72E-07	1.65E-06	2.95E-07	6.71E-08	4.90E-08	4.49E-08	6.15E-08
P04173	YCL018W	1.54E-05	1.33E-05	8.81E-06	7.02E-06	1.08E-05	8.12E-07	3.83E-07	4.54E-07	1.05E-07	4.57E-07
P04449	YGL031C	6.28E-05	5.67E-05	3.23E-05	2.86E-05	6.14E-05	7.42E-06	1.91E-06	5.63E-07	2.25E-06	1.84E-06
P04456	YOL127W	5.76E-05	5.88E-05	3.18E-05	2.76E-05	6.54E-05	1.01E-06	2.18E-06	1.38E-06	1.80E-06	3.75E-07
P04650	YJL189W	4.41E-05	4.13E-05	2.25E-05	1.99E-05	4.51E-05	1.73E-06	4.81E-07	3.09E-06	1.76E-06	5.88E-06
P04786	YOL006C	1.65E-07	2.13E-07	1.91E-07	1.31E-07	1.73E-07	7.51E-08	7.01E-08	6.17E-08	2.38E-08	3.11E-08
P04801	YIL078W	4.75E-06	4.27E-06	2.69E-06	2.25E-06	4.84E-06	1.56E-07	1.59E-07	5.41E-08	1.22E-07	1.17E-07
P04802	YLL018C	1.13E-05	9.59E-06	5.35E-06	4.47E-06	7.21E-06	3.24E-07	2.57E-07	9.85E-08	1.54E-07	3.23E-07
P04803	YDR268W	9.67E-08	9.57E-08	6.58E-08	4.28E-08	7.01E-08	2.67E-08	2.58E-09	7.27E-09	8.32E-09	7.82E-09
P04806	YFR053C	4.46E-05	2.60E-05	7.16E-06	4.31E-06	1.82E-05	2.24E-06	6.40E-07	3.32E-07	1.36E-07	6.35E-07
P04807	YGL253W	8.86E-06	1.18E-05	1.02E-05	8.13E-06	1.34E-05	9.21E-07	4.50E-07	2.30E-07	1.34E-07	5.74E-07
P04821	YLR310C	7.46E-07	9.89E-07	7.47E-07	5.48E-07	2.29E-07	2.60E-07	1.67E-07	7.40E-08	1.01E-07	NA
P04840	YNL055C	3.70E-05	3.22E-05	2.56E-05	1.98E-05	2.96E-05	1.80E-06	1.09E-06	6.58E-07	1.17E-06	2.66E-06
P05150	YJL088W	1.08E-05	1.32E-05	1.01E-05	8.40E-06	9.94E-06	5.94E-07	4.92E-07	1.70E-07	2.52E-08	2.47E-07
P05317	YLR340W	4.34E-05	4.23E-05	2.75E-05	2.16E-05	4.20E-05	5.65E-07	9.28E-07	7.60E-07	1.42E-06	1.41E-06
P05319	YOL039W	5.46E-06	5.14E-06	2.90E-06	2.38E-06	5.34E-06	3.62E-07	1.02E-06	6.30E-08	8.36E-08	9.61E-08
P05373	YGL040C	5.66E-06	3.60E-06	2.58E-06	2.10E-06	7.19E-06	2.21E-07	7.33E-08	5.44E-08	1.05E-07	5.82E-07
P05374	YGR157W	2.40E-07	4.43E-07	3.71E-07	3.09E-07	3.70E-07	3.12E-08	7.77E-09	2.84E-08	4.61E-08	4.25E-08
P05375	YJR073C	3.09E-07	4.53E-07	3.24E-07	2.64E-07	2.27E-07	1.16E-07	1.46E-07	8.65E-08	2.00E-08	1.72E-08
P05453	YDR172W	3.37E-06	2.91E-06	1.82E-06	1.45E-06	2.66E-06	5.53E-07	5.64E-08	3.69E-08	6.80E-08	1.18E-07
P05626	YPL078C	9.83E-06	1.06E-05	7.76E-06	5.06E-06	1.05E-05	6.85E-07	5.66E-07	5.31E-07	6.34E-07	2.80E-07
P05694	YER091C	4.81E-05	3.66E-05	3.30E-05	2.65E-05	0.000104954	2.34E-06	1.96E-06	2.12E-07	7.24E-07	3.29E-06
P05738	YGL147C	8.15E-07	4.07E-07	2.01E-07	1.75E-07	1.28E-06	1.11E-07	8.93E-09	1.43E-09	2.12E-08	8.83E-08
P05739	YLR448W	2.49E-05	2.29E-05	1.38E-05	1.15E-05	2.69E-05	1.51E-06	5.31E-07	3.65E-07	6.45E-07	3.69E-07
