ID	Reaction name	CN4	CN22	CN38	CN78	hGR
r_1549	(R,R)-2,3-butanediol exchange	4.08269043941718e-06	0.00859541634907741	0.00020648514940244	0.000366717075152507	0.000947745127841744
r_1634	acetate exchange	1.4e-05	7.6e-05	0.240401421552989	0.419812293413578	0.641243887691619
r_1672	carbon dioxide exchange	3.12918751276457	3.9099692460087	6.20068572799123	7.95649158915369	10.5030762985809
r_1683	choline exchange	7.05236427637635e-05	0.000787215443352014	0.000821112757753564	0.00185460039652792	0.00113837826861409
r_1761	ethanol exchange	1.13716487686133e-05	0.00728269119309415	0.752086131357584	2.16988623999414	3.69974177922548
r_1793	formate exchange	0.000667388435603607	1.37384894750161	0.445370227886309	2.94991409242103	3.66603873706093
r_1798	fumarate exchange	1.70067627255916e-06	0.000139988849553641	3.4223795283845e-05	0.00200953971953974	7.92457010581093e-05
r_1808	glycerol exchange	0	6e-06	0.0661161611898717	0.115698987042952	2e-06
r_1810	L-glycine exchange	8.9592048101277e-06	0.000200095558072044	0.000159292383930613	0.00128896141727294	0.00033356173501694
r_1989	oxaloacetate(2-) exchange	1.15703816067993e-05	0.000111236441550007	0.000129463755734439	0.00155382833947007	0.000180854195485141
r_2033	pyruvate exchange	1.11321209033957e-05	0.000982165072322543	0.000136432135421104	0.00219763296563443	0.000480433895517481
r_2061	sulphite exchange	6.23788466816917e-05	0.000931636394664054	0.00115563366911583	0.0022687951465952	0.00158297769420557
r_2100	water exchange	4.84519545685198	5.7974570147758	6.75735939193018	6.95090552600338	11.250163870025
r_2111	growth	0.0950176534856155	0.0951761383258254	0.0951954608773887	0.095399077557379	0.275759113822227
r_4527	diphosphate exchange	0.00147795596342243	0.0643755459083595	0.00697903853899406	0.0127426841606834	0.00623924582782731
